City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Temperature (F),Wind Speed (mph)
swan hill,1.0,au,1574642235,11.0,-35.34,143.56,86.92,12.15
ahvaz,75.0,ir,1574642235,62.0,31.32,48.68,59.0,2.24
college,90.0,us,1574642235,92.0,64.86,-147.8,17.91,0.83
tupik,100.0,ru,1574642236,87.0,54.43,119.94,-14.21,2.1
christchurch,0.0,nz,1574642225,33.0,-43.53,172.64,62.53,21.92
cacequi,0.0,br,1574642236,63.0,-29.88,-54.83,65.82,15.99
coahuayana,64.0,mx,1574642236,76.0,18.62,-100.35,76.78,1.68
malpe,20.0,in,1574642236,88.0,13.35,74.72,75.2,5.82
flinders,83.0,au,1574642237,37.0,-34.58,150.85,80.24,6.93
zemio,37.0,cf,1574642237,84.0,5.02,25.13,69.24,2.48
barcelona,91.0,ph,1574642237,86.0,12.87,124.14,80.01,9.91
trinidad,75.0,bo,1574642237,78.0,-14.83,-64.9,82.4,4.7
manjacaze,1.0,mz,1574642237,85.0,-24.71,33.88,75.96,2.98
yeppoon,66.0,au,1574642237,39.0,-23.13,150.74,84.2,4.7
tucumcari,1.0,us,1574642238,24.0,35.17,-103.73,48.4,7.02
enkoping,100.0,se,1574642238,87.0,59.64,17.08,36.9,4.7
walvis bay,15.0,na,1574642238,87.0,-22.95,14.51,57.63,8.05
tayoltita,3.0,mx,1574642238,74.0,24.11,-105.93,63.0,0.78
port-cartier,90.0,ca,1574641954,85.0,50.03,-66.88,25.27,5.82
verkhnevilyuysk,98.0,ru,1574642238,97.0,63.45,120.31,-18.2,1.19
pacific grove,1.0,us,1574642238,34.0,36.62,-121.92,62.4,9.17
qaqortoq,0.0,gl,1574642239,53.0,60.72,-46.03,23.0,1.12
comodoro rivadavia,40.0,ar,1574642239,82.0,-45.87,-67.48,60.8,4.7
khash,0.0,ir,1574642239,55.0,28.22,61.21,41.81,4.09
neiafu,75.0,to,1574642239,61.0,-18.65,-173.98,78.8,5.82
northam,20.0,au,1574642239,56.0,-31.65,116.67,69.8,17.22
talant,90.0,fr,1574642239,93.0,47.34,5.0,44.46,3.36
noyabrsk,28.0,ru,1574642239,95.0,63.2,75.45,-12.24,11.5
raudeberg,100.0,no,1574642240,66.0,61.99,5.14,45.41,6.93
waitati,0.0,nz,1574642240,62.0,-45.75,170.57,57.0,17.0
general pico,100.0,ar,1574642240,67.0,-35.66,-63.75,68.79,8.88
thinadhoo,98.0,mv,1574642240,79.0,0.53,72.93,83.08,12.66
yen bai,99.0,vn,1574642247,88.0,21.7,104.87,69.21,0.31
ust-maya,100.0,ru,1574642307,98.0,60.42,134.54,-23.28,0.96
bissau,0.0,gw,1574642308,83.0,11.86,-15.58,77.0,4.7
evensk,100.0,ru,1574642308,94.0,61.92,159.24,12.56,8.79
kloulklubed,75.0,pw,1574642308,74.0,7.04,134.26,84.2,5.82
medicine hat,90.0,ca,1574642293,93.0,50.04,-110.68,34.63,25.28
kirya,98.0,ru,1574642308,33.0,55.08,46.86,20.95,4.0
los llanos de aridane,75.0,es,1574642308,64.0,28.66,-17.92,68.0,8.05
cabo san lucas,20.0,mx,1574642184,78.0,22.89,-109.91,74.75,8.05
sorland,100.0,no,1574642309,81.0,67.67,12.69,45.59,9.37
benghazi,77.0,ly,1574642309,63.0,32.12,20.07,67.6,17.69
vilhena,20.0,br,1574642166,94.0,-12.74,-60.15,75.2,4.7
macomer,83.0,it,1574642309,100.0,40.26,8.77,50.79,3.36
ruston,1.0,us,1574642309,76.0,32.52,-92.64,51.64,3.83
penzance,92.0,gb,1574642310,100.0,50.12,-5.53,53.71,12.75
troitsko-pechorsk,52.0,ru,1574642310,95.0,62.71,56.19,6.06,5.57
mombetsu,75.0,jp,1574642310,86.0,44.35,143.35,33.8,8.05
anloga,20.0,gh,1574642310,83.0,5.79,0.9,82.4,5.82
nuevo progreso,3.0,mx,1574642310,90.0,17.14,-95.05,72.52,7.83
rio cuarto,40.0,ar,1574642304,44.0,-33.13,-64.35,75.2,27.51
champerico,40.0,gt,1574642311,78.0,14.3,-91.92,82.4,4.7
bafia,43.0,cm,1574642311,97.0,4.74,11.22,69.66,2.19
mandaguacu,61.0,br,1574642311,61.0,-23.35,-52.1,76.62,11.41
boa vista,75.0,br,1574642311,83.0,2.82,-60.67,80.6,4.7
rockport,1.0,us,1574642311,82.0,28.02,-97.05,65.01,10.16
yuanping,0.0,cn,1574642311,23.0,38.72,112.71,15.6,1.66
napierville,75.0,ca,1574642311,69.0,45.19,-73.4,33.53,2.24
saint-francois,65.0,gp,1574642311,83.0,16.25,-61.27,78.8,4.7
tsagan aman,0.0,ru,1574642312,47.0,47.57,46.72,18.41,7.47
ekhabi,100.0,ru,1574642312,92.0,53.51,142.97,12.09,23.8
quatre cocos,20.0,mu,1574642312,100.0,-20.21,57.76,72.88,4.7
narsaq,0.0,gl,1574642312,53.0,60.91,-46.05,23.0,1.12
pimentel,75.0,pe,1574642312,29.0,-6.84,-79.94,66.2,17.22
moindou,30.0,nc,1574642313,51.0,-21.69,165.68,86.0,14.99
kuah,20.0,my,1574642313,88.0,6.33,99.84,78.55,3.36
mabaruma,93.0,gy,1574642313,96.0,8.2,-59.78,75.67,2.91
marienburg,20.0,sr,1574642313,83.0,5.88,-55.04,80.8,5.82
alofi,100.0,nu,1574642313,83.0,-19.06,-169.92,75.2,9.17
kankan,6.0,gn,1574642313,38.0,10.38,-9.3,76.17,2.26
farafangana,19.0,mg,1574642314,69.0,-22.82,47.83,76.21,9.1
sur,1.0,om,1574642314,62.0,22.57,59.53,71.26,4.76
arandas,49.0,mx,1574642314,57.0,20.71,-102.35,69.94,1.45
chake chake,98.0,tz,1574642314,80.0,-5.25,39.77,81.43,8.59
honningsvag,98.0,no,1574642314,74.0,70.98,25.97,38.79,15.3
san carlos de bariloche,75.0,ar,1574642381,62.0,-41.13,-71.31,51.8,19.46
omboue,100.0,ga,1574642381,96.0,-1.57,9.26,75.63,2.13
ilulissat,98.0,gl,1574642381,50.0,69.22,-51.1,33.8,4.7
hervey bay,75.0,au,1574642382,44.0,-25.3,152.85,81.91,9.17
dongsheng,100.0,cn,1574642382,85.0,29.72,112.52,41.58,19.91
prieska,0.0,za,1574642382,26.0,-29.67,22.74,58.33,6.91
hami,100.0,cn,1574642382,27.0,42.84,93.51,24.49,3.13
minab,0.0,ir,1574642382,44.0,27.15,57.07,64.99,6.93
nieuw nickerie,0.0,sr,1574642382,82.0,5.94,-56.99,82.04,12.06
batagay-alyta,60.0,ru,1574642382,92.0,67.8,130.41,-29.22,1.61
alyangula,40.0,au,1574642383,66.0,-13.85,136.42,86.0,5.82
pimenta bueno,82.0,br,1574642383,89.0,-11.68,-61.19,75.13,2.33
debre sina,69.0,et,1574642383,82.0,9.85,39.76,66.33,2.46
kirakira,49.0,sb,1574642383,71.0,-10.46,161.92,81.82,5.44
esmeraldas,75.0,ec,1574642384,65.0,-1.87,-79.8,78.48,10.29
nichinan,75.0,jp,1574642384,88.0,31.65,131.31,64.81,4.7
madison,90.0,us,1574642326,70.0,43.07,-89.38,40.46,6.98
palmer,75.0,us,1574642384,73.0,61.6,-149.11,27.99,8.05
shenjiamen,100.0,cn,1574642384,80.0,29.96,122.3,56.7,31.65
merauke,20.0,id,1574642384,50.0,-8.49,140.4,86.86,7.2
tiznit,0.0,ma,1574642341,58.0,29.7,-9.73,59.56,2.35
aykino,98.0,ru,1574642385,93.0,62.22,49.99,10.94,4.38
kaitangata,9.0,nz,1574642385,64.0,-46.28,169.85,53.58,5.79
road town,40.0,vg,1574642385,69.0,18.42,-64.62,79.61,5.82
sibolga,100.0,id,1574642385,97.0,1.74,98.78,72.34,1.88
naryan-mar,94.0,ru,1574642315,94.0,67.67,53.09,17.8,14.7
kandrian,34.0,pg,1574642385,62.0,-6.21,149.55,83.98,8.75
mayor pablo lagerenza,48.0,py,1574642386,52.0,-19.93,-60.77,83.75,5.44
cruzilia,77.0,br,1574642386,86.0,-21.84,-44.81,61.03,3.51
zhigansk,99.0,ru,1574642386,96.0,66.77,123.37,-17.97,1.43
payson,75.0,us,1574642386,59.0,40.04,-111.73,40.42,3.36
shiraoi,75.0,jp,1574642386,93.0,42.56,141.33,35.64,23.04
sao gabriel da cachoeira,26.0,br,1574642386,75.0,-0.13,-67.09,79.3,0.22
yeniseysk,5.0,ru,1574642387,96.0,58.45,92.17,-16.08,4.72
agirish,30.0,ru,1574642387,96.0,61.92,63.02,9.12,7.52
ayolas,0.0,py,1574642387,63.0,-27.39,-56.84,75.52,7.29
acapulco,90.0,mx,1574642387,78.0,16.86,-99.88,82.4,5.82
kulhudhuffushi,91.0,mv,1574642388,76.0,6.62,73.07,83.75,13.91
yugorsk,0.0,ru,1574642388,86.0,61.32,63.33,2.68,5.91
orchard homes,1.0,us,1574642455,41.0,46.86,-114.05,40.19,12.75
vaitape,100.0,pf,1574642346,79.0,-16.52,-151.75,81.57,13.29
tautira,40.0,pf,1574642455,66.0,-17.73,-149.15,87.37,16.11
poum,42.0,nc,1574642455,72.0,-20.23,164.02,75.65,24.43
ihosy,33.0,mg,1574642455,89.0,-22.4,46.13,59.76,11.01
joshimath,100.0,in,1574642455,31.0,30.57,79.57,38.32,6.87
dosso,0.0,ne,1574642455,22.0,13.05,3.19,77.23,2.51
rusape,51.0,zw,1574642456,92.0,-18.53,32.12,64.22,2.84
banda aceh,32.0,id,1574642275,88.0,5.56,95.32,72.63,4.99
hobyo,100.0,so,1574642456,82.0,5.35,48.53,78.93,14.92
murray bridge,63.0,au,1574642456,28.0,-35.12,139.28,76.51,3.0
adrar,0.0,dz,1574642456,38.0,27.87,-0.29,59.0,8.05
la rioja,45.0,ar,1574642355,60.0,-29.41,-66.86,73.76,10.94
baoding,0.0,cn,1574642457,23.0,38.86,115.49,24.04,4.68
la asuncion,55.0,ve,1574642457,90.0,11.03,-63.86,77.74,6.78
cristalina,100.0,br,1574642457,83.0,-16.77,-47.61,71.01,2.39
bilibino,98.0,ru,1574642457,88.0,68.06,166.44,-13.25,3.69
mitchell,1.0,us,1574642457,61.0,43.71,-98.03,44.74,8.05
punta cardon,37.0,ve,1574642457,74.0,11.61,-70.22,82.2,22.46
pringsewu,23.0,id,1574642458,92.0,-5.36,104.98,75.22,1.34
general roca,40.0,ar,1574642458,41.0,-39.03,-67.58,75.2,11.41
pambujan,89.0,ph,1574642458,91.0,12.56,124.93,80.26,5.06
mackenzie,90.0,ca,1574642458,69.0,55.34,-123.09,35.6,4.7
savonlinna,72.0,fi,1574642458,85.0,61.87,28.88,24.93,4.7
kahului,40.0,us,1574642326,54.0,20.89,-156.47,78.71,16.11
linqu,100.0,cn,1574642458,50.0,36.52,118.54,33.01,1.01
vila do maio,20.0,cv,1574642458,83.0,15.13,-23.22,73.4,13.87
iralaya,75.0,hn,1574642459,83.0,15.0,-83.23,80.6,14.63
adra,69.0,in,1574642459,88.0,23.5,86.68,66.2,2.48
marystown,54.0,ca,1574642459,2.0,47.17,-55.16,39.0,8.63
shelbyville,1.0,us,1574642459,49.0,39.41,-88.79,44.15,5.82
rincon,1.0,us,1574642265,93.0,32.3,-81.24,49.77,4.12
portland,83.0,au,1574642460,52.0,-33.35,149.98,75.61,11.01
isangel,75.0,vu,1574642429,54.0,-19.55,169.27,84.2,11.41
takoradi,7.0,gh,1574642460,82.0,4.89,-1.75,80.47,7.31
encheng,100.0,cn,1574642460,84.0,22.74,107.09,67.59,1.83
baker city,1.0,us,1574642404,41.0,44.77,-117.83,42.1,11.41
bhavnagar,0.0,in,1574642460,53.0,21.77,72.14,76.42,6.33
kudahuvadhoo,100.0,mv,1574642460,79.0,2.67,72.89,83.14,10.85
sorong,100.0,id,1574642461,84.0,-0.86,131.25,80.53,3.31
hofn,100.0,is,1574642383,81.0,64.25,-15.21,43.18,33.31
bodden town,20.0,ky,1574642461,78.0,19.28,-81.25,80.82,4.7
ladario,99.0,br,1574642461,74.0,-19.0,-57.6,79.07,0.76
brainerd,90.0,us,1574642461,93.0,46.36,-94.2,36.88,3.36
bundaberg,75.0,au,1574642461,44.0,-24.87,152.35,81.88,9.17
jacareacanga,59.0,br,1574642528,81.0,-6.22,-57.76,77.83,2.8
koulamoutou,23.0,ga,1574642529,94.0,-1.13,12.47,71.65,0.81
maningrida,2.0,au,1574642529,46.0,-12.05,134.23,91.17,5.77
richards bay,99.0,za,1574642529,81.0,-28.77,32.06,71.96,22.62
chernigovka,11.0,ru,1574642529,67.0,44.34,132.57,13.15,7.11
kaeo,11.0,nz,1574642529,35.0,-35.1,173.78,81.0,11.99
marawi,34.0,sd,1574642529,11.0,18.48,31.82,65.98,9.73
maragogi,0.0,br,1574642328,81.0,-9.01,-35.22,79.63,16.89
bani walid,3.0,ly,1574642530,50.0,31.76,14.0,53.67,12.57
mbuji-mayi,100.0,cd,1574642530,93.0,-6.13,23.6,67.32,2.57
oktyabrskoye,20.0,ru,1574642531,84.0,56.73,85.44,8.82,4.47
ust-nera,58.0,ru,1574642531,92.0,64.57,143.24,-35.99,1.39
chapais,90.0,ca,1574642531,92.0,49.78,-74.86,26.6,8.05
liverpool,100.0,ca,1574642531,96.0,44.04,-64.71,46.99,8.01
